Experiment start. 

Data :	 1
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Naive Algorithm fails! 
Data 1 complete: (Naive Algorithm)	 success rate: 0.000000	 task step: -nan(ind)	 robot step: -nan(ind)
RandomNoPair Algorithm :	 taskstep 18	 robotstep 46
RandomNoPair Algorithm :	 taskstep 11	 robotstep 44
RandomNoPair Algorithm :	 taskstep 12	 robotstep 52
RandomNoPair Algorithm :	 taskstep 14	 robotstep 51
RandomNoPair Algorithm fails! 
RandomNoPair Algorithm :	 taskstep 10	 robotstep 52
RandomNoPair Algorithm fails! 
RandomNoPair Algorithm :	 taskstep 10	 robotstep 52
RandomNoPair Algorithm :	 taskstep 13	 robotstep 47
RandomNoPair Algorithm :	 taskstep 15	 robotstep 48
RandomNoPair Algorithm :	 taskstep 15	 robotstep 48
RandomNoPair Algorithm :	 taskstep 18	 robotstep 51
RandomNoPair Algorithm :	 taskstep 13	 robotstep 53
RandomNoPair Algorithm :	 taskstep 16	 robotstep 55
RandomNoPair Algorithm :	 taskstep 17	 robotstep 47
RandomNoPair Algorithm :	 taskstep 16	 robotstep 58
RandomNoPair Algorithm :	 taskstep 12	 robotstep 47
RandomNoPair Algorithm :	 taskstep 11	 robotstep 53
RandomNoPair Algorithm :	 taskstep 14	 robotstep 54
RandomNoPair Algorithm :	 taskstep 14	 robotstep 40
Data 1 complete: (RandNoPair Algorithm)	 success rate: 0.900000	 task step: 13.833333	 robot step: 49.888889
RandomSearch Algorithm :	 taskstep 15	 robotstep 40
RandomSearch Algorithm :	 taskstep 16	 robotstep 36
RandomSearch Algorithm :	 taskstep 18	 robotstep 46
RandomSearch Algorithm :	 taskstep 19	 robotstep 43
RandomSearch Algorithm :	 taskstep 16	 robotstep 45
RandomSearch Algorithm :	 taskstep 14	 robotstep 42
RandomSearch Algorithm :	 taskstep 16	 robotstep 32
RandomSearch Algorithm :	 taskstep 21	 robotstep 43
RandomSearch Algorithm :	 taskstep 15	 robotstep 38
RandomSearch Algorithm :	 taskstep 16	 robotstep 37
RandomSearch Algorithm :	 taskstep 18	 robotstep 40
RandomSearch Algorithm :	 taskstep 15	 robotstep 36
RandomSearch Algorithm :	 taskstep 18	 robotstep 38
RandomSearch Algorithm :	 taskstep 16	 robotstep 38
RandomSearch Algorithm :	 taskstep 17	 robotstep 43
RandomSearch Algorithm :	 taskstep 15	 robotstep 42
RandomSearch Algorithm :	 taskstep 18	 robotstep 36
RandomSearch Algorithm :	 taskstep 15	 robotstep 37
RandomSearch Algorithm :	 taskstep 17	 robotstep 37
RandomSearch Algorithm :	 taskstep 14	 robotstep 44
Data 1 complete: (RandomSearch Algorithm)	 success rate: 1.000000	 task step: 16.450000	 robot step: 39.650000
WavePropatation Algorithm :	 taskstep 16	 robotstep 42
WavePropatation Algorithm :	 taskstep 14	 robotstep 38
WavePropatation Algorithm :	 taskstep 13	 robotstep 36
WavePropatation Algorithm :	 taskstep 15	 robotstep 34
WavePropatation Algorithm :	 taskstep 17	 robotstep 39
WavePropatation Algorithm :	 taskstep 17	 robotstep 40
WavePropatation Algorithm :	 taskstep 14	 robotstep 39
WavePropatation Algorithm :	 taskstep 15	 robotstep 42
WavePropatation Algorithm :	 taskstep 14	 robotstep 37
WavePropatation Algorithm :	 taskstep 17	 robotstep 40
WavePropatation Algorithm :	 taskstep 17	 robotstep 39
WavePropatation Algorithm :	 taskstep 16	 robotstep 43
WavePropatation Algorithm :	 taskstep 14	 robotstep 38
WavePropatation Algorithm :	 taskstep 16	 robotstep 42
WavePropatation Algorithm :	 taskstep 15	 robotstep 41
WavePropatation Algorithm :	 taskstep 15	 robotstep 32
WavePropatation Algorithm :	 taskstep 16	 robotstep 40
WavePropatation Algorithm :	 taskstep 14	 robotstep 44
WavePropatation Algorithm :	 taskstep 17	 robotstep 53
WavePropatation Algorithm :	 taskstep 14	 robotstep 36
Data 1 complete: (WavePropatation Algorithm)	 success rate: 1.000000	 task step: 15.300000	 robot step: 39.750000
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Vijay Algorithm :	 taskstep 0	 robotstep 32
Data 1 complete: (Vijay Algorithm)	 success rate: 1.000000	 task step: 0.000000	 robot step: 32.000000
